"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2018&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Dec 03 2019 12:54:36 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Broken Bow","NE",43,0,1
"Bronx Zoo","NY",14179,0,305
"Brooklyn","IA",3,0,0
"Brooklyn City North Plant","IA",4,0,0
"Brooklyn Hospital Center","NY",5,0,0
"Brooklyn Navy Yard Cogeneration","NY",1030265,6,63
"Brookside Newark","DE",8995,0,0
"Broshco Fabricated Products","OH",3394,0,11
"Brown County LFGTE Power Station","OH","--",0,345
"Brown Station Road Plant I","MD","--",0,231
"Brown Station Road Plant II","MD","--",0,259
"Brownsville Peaking Power","TN",353058,2,221
"Brunner Island","PA",1636193,2227,2320
"Brunot Island","PA",23438,0,7
"Brunswick Cellulose","GA",126602,5376,1530
"Brunswick County Power Station","VA",3117479,16,157
"Brunswick Landfill Gas","VA",2056,4,604
"Brush Generation Facility","CO",83879,0,36
"Bryan (OH)","OH",2255,0,6
"Bryan (TX)","TX",375,0,1
"Bryan Peaking","OH",412,1,8
"Bryon Center","MI","--",0,254
"Buchanan Generation LLC","VA",103461,1,68
"Buck","NC",1953401,10,142
"Buckeye Florida LP","FL",235342,6017,2241
"Bucknell University","PA",36213,0,83
"Bucksport Generation LLC","ME",7939,0,7
"Bull Run","TN",1357586,180,714
"Bull Street Plant","SC",38,0,0
"Bunge North America East LLC","IN",29274,0,70
"Burgess BioPower","NH",300,15,221
"Burlingame","KS",51,0,1
"Burlington (CO)","CO",3610,6,21
"Burlington (IA)","IA",1220329,3016,871
"Burlington (KS)","KS",77,0,2
"Burlington GT","VT",725,1,4
"Burney Forest Products","CA",8894,27,41
"Burnside Alumina Plant","LA",151878,1,302
"Burwell","NE",133,0,3
"Bushnell","IL",52,0,1
"Butler Municipal Power Plant","MO",73,0,1
"Butler-Warner Generation Plant","NC",55036,104,132
"Buxton","NC",434,1,9
"C D McIntosh Jr","FL",2494012,1502,1560
"C P Kelco San Diego Plant","CA",53754,0,148
"C R Wing Cogen Plant","TX",299506,1,344
"C W Burdick","NE",4008,0,2
"C&H Sugar Plant","CA","--",0,0
"CBS Studio Center","CA",4238,0,0
"CC Landfill Energy, LLC","NV","--",0,64
"CC Perry K","IN",199614,1,242
"CCCSD Wastewater Treatment Plnt","CA",18322,0,49
"CCSU Co-Gen-STBY Gen","CT",3625,0,78
"CCSU Fuel Cell Project","CT",5155,0,0
"CE Leathers","CA",8631,"--","--"
"CE Turbo LLC","CA",2070,"--","--"
"CF Industries Yazoo City Complex","MS",101219,0,258
"CFB Power Plant","TX",611289,0,294
"CH Resources Beaver Falls","NY",5597,0,3
"CH Resources Syracuse","NY",15291,0,8
"CID Gas Recovery","IL","--",0,43
"CII Methane Management III LFG Plant","GA","--",0,99
"CII Methane Management IV, LLC","NC","--",0,112
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",21213,1,64
"CITGO Refinery Powerhouse","LA","--",4,345
"CML&P Generating Facility No. 2","KS",27218,0,631
"CNN Center","GA",66,0,1
"COC Surry LFG, LLC","NC","--",0,68
"CP Crane Power, LLC","MD",244888,786,634
"CPI USA NC Roxboro","NC",208300,2092,423
"CPI USA NC Southport","NC",392747,2990,802
"CPV St Charles Energy Center","MD",1613738,8,57
"CPV Towantic Energy Center","CT",1051145,6,59
"CPV Valley Energy Center","NY",525599,23,31
"CSL Behring LLC","IL",26330,0,71
"CSL Gas Recovery","FL","--",1,65
"CSU East Bay","CA",3144,0,0
"CSUCI Site Authority","CA",23833,0,55
"CSUF Trigeneration","CA",19030,0,52
"CT Resource Rec Authority Facility","CT",193002,29,517
"Cadillac Renewable Energy","MI",0,60,181
"Caithness Long Island Energy Center","NY",974904,4,49
"CalPeak Power Border Peaker Plant","CA",6693,0,1
"CalPeak Power Enterprise Peaker Plant","CA",7173,0,1
"CalPeak Power Panoche Peaker Plant","CA",8324,0,1
"CalPeak Power Vaca Dixon Peaker Plant","CA",6628,0,1
"Calabasas Gas to Energy Facility","CA","--",1,125
"Calcasieu","LA",153159,1,113
"Caledonia","MS",1519749,8,139
"Calhoun Energy Center","AL",124707,1,49
"California Institute of Technology","CA",59456,0,138
"California State University San Bernardi","CA",4129,0,0
"Calistoga Power Plant","CA",13173,"--","--"
"Caltech Central","CA",3024,0,0
"Calumet Energy Team LLC","IL",10349,0,6
"Calvert City","KY",196141,1,42
"Cambria Cogen","PA",739995,2286,622
"Cambridge","NE",4,0,0
"Cambridge CT","MN",36190,0,22
"Camden Plant Holdings LLC","NJ",24075,0,9
"Camden Resource Recovery Facility","NJ",138362,55,456
"Camden South Carolina","SC",73723,6,70
"Campbell Industrial Park","HI",15638,212,236
"Campbell Village","NE",0,0,0
"Cana Gas Processing Plant","OK",722,1,14
"Canaday","NE",552,0,1
"Canal","MA",115790,243,80
"Cane Island","FL",1198567,6,86
"Cane Run","KY",1696989,9,390
"Cannon Falls Energy Center","MN",69860,1,50
"Canton North Carolina","NC",819429,6884,1542
"Canyon Power Plant","CA",102904,1,8
"Cape Canaveral","FL",2606066,13,167
"Cape Gas Turbine","ME",1171,2,6
"Capitol District Energy Center","CT",33120,0,16
"Carbon Limestone","OH","--",1,2151
"Cardinal","OH",9375228,8804,3486
