"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2011&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Mon Nov 25 2019 17:10:06 GMT-0800 (Pacific Standard Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Celanese Acetate LLC","VA",861510,5744,239
"Centennial","AK",165,0,3
"Centennial Generating Station","MN",84,0,2
"Center Peaker","CA",4085,0,0
"Centerville","IA",4305,1,13
"Central District Wastewater Treat Plant","FL","--",0,409
"Central Energy Plant","FL",163321,1,453
"Central Michigan University","MI",19358,4,93
"Central Ohio BioEnergy Plant #1","OH","--",0,94
"Central Plant","SC",772,0,16
"Central Utilities Plant LAX","CA",37766,0,103
"Central Utility Plant","TX",30884,0,392
"Central Utility Plant Cincinnati","OH",113206,1,341
"Century Generating Facility","CA",55,0,0
"CenturyLink Regional HQ","NC",35,0,1
"Ceredo Generating Station","WV",18443,0,4
"Chaffee Gas Recovery","NY","--",0,656
"Chalk Cliff Limited","CA",176513,1,475
"Chalk Point LLC","MD",3781245,5246,4304
"Chalmette Refining LLC","LA","--",0,17
"Chambers Cogeneration LP","NJ",1010425,1045,682
"Chambersburg","PA",39158,0,27
"Chamois","MO",468361,1177,1689
"Channel Energy Center LLC","TX",1128377,17,122
"Channelview Cogeneration Plant","TX",3060906,15,279
"Chanute 2","KS",9189,0,22
"Chanute 3","KS",1869,0,39
"Chappell","NE",22,0,0
"Charles City","VA",240,0,17
"Charles P Keller","NY",2762,0,61
"Charles R Lowman","AL",3117615,3903,2893
"Charter Dura-Bar","IL",8600,0,169
"Chattahoochee Energy Facility","GA",751737,4,71
"Chautauqua LFGTE Facility","NY","--",0,635
"Chehalis Generating Facility","WA",271757,3,40
"Cherokee","CO",4007741,6718,8161
"Cherokee County Cogen","SC",227180,1,50
"Cherry Street","MA",240,0,5
"Cherryville City Hall","NC",70,0,1
"Chesapeake","VA",2724917,15647,5422
"Chester Generating Station","PA",1035,0,6
"Chester Operations","PA",563887,873,194
"Chesterfield Landfill Gas","VA",527,0,60
"Chestnut Ridge Gas Recovery","TN","--",0,263
"Cheswick Power Plant","PA",2545823,8428,2988
"Chevron Oil","MS",640129,9,227
