"","state_and_county_fips_code","county_name","sector","NOX","PM10-PRI","PM25-PRI","SO2"
"826",21173,"Montgomery","Fires - Wildfires",0.042592,0.166547,0.141137,0.017809
"827",21175,"Morgan","Fires - Wildfires",29.79934,175.135762,148.420134,14.65655
"828",21177,"Muhlenberg","Fires - Wildfires",0.348152,1.78908,1.516137,0.161645
"829",21179,"Nelson","Fires - Wildfires",0.070984,0.27757,0.235222,0.029709
"830",21181,"Nicholas","Fires - Wildfires",0.212938,0.832682,0.705666,0.089099
"831",21183,"Ohio","Fires - Wildfires",0.188169,0.827498,0.701247,0.082147
"832",21189,"Owsley","Fires - Wildfires",21.384262,118.663208,100.562008,10.255707
"833",21193,"Perry","Fires - Wildfires",230.401049,1316.780677,1115.916052,111.926988
"834",21195,"Pike","Fires - Wildfires",180.512668,1020.397462,864.743623,87.271218
"835",21197,"Powell","Fires - Wildfires",1.343173,7.191104,6.09416,0.63437
"836",21199,"Pulaski","Fires - Wildfires",6.913782,35.795208,30.33491,3.219799
"837",21203,"Rockcastle","Fires - Wildfires",80.159163,423.404043,358.816938,37.644716
"838",21205,"Rowan","Fires - Wildfires",1.702309,8.721941,7.391462,0.789369
"839",21217,"Taylor","Fires - Wildfires",0.257913,1.427132,1.209466,0.12352
"840",21221,"Trigg","Fires - Wildfires",0.203917,1.047891,0.888052,0.094661
"841",21225,"Union","Fires - Wildfires",1.193608,6.133972,5.198274,0.554177
"842",21231,"Wayne","Fires - Wildfires",7.226099,40.815683,34.589559,3.49237
"843",21235,"Whitley","Fires - Wildfires",60.867604,341.802122,289.662823,29.342584
"844",21237,"Wolfe","Fires - Wildfires",4.649761,24.839709,21.050656,2.194082
"845",22001,"Acadia","Fires - Wildfires",0.014908,0.106267,0.090051,0.00803
"846",22003,"Allen","Fires - Wildfires",1.83615,8.041062,6.814532,0.800423
"847",22011,"Beauregard","Fires - Wildfires",44.911229,209.171127,177.263696,20.044224
"848",22013,"Bienville","Fires - Wildfires",1.592794,8.284961,7.021148,0.743309
"849",22015,"Bossier","Fires - Wildfires",0.797935,3.633398,3.079171,0.353023
"850",22017,"Caddo","Fires - Wildfires",1.637407,7.622538,6.459847,0.730659
"851",22019,"Calcasieu","Fires - Wildfires",7.651351,34.630933,29.348212,3.377352
"852",22021,"Caldwell","Fires - Wildfires",1.635261,7.331373,6.213024,0.719193
"853",22023,"Cameron","Fires - Wildfires",25.733965,297.400315,252.03411,18.112913
"854",22025,"Catahoula","Fires - Wildfires",0.415704,1.891183,1.60272,0.18387
"855",22027,"Claiborne","Fires - Wildfires",2.963031,13.776951,11.675368,1.321507
"856",22031,"De Soto","Fires - Wildfires",2.149403,9.888429,8.379972,0.954722
"857",22035,"East Carroll","Fires - Wildfires",0.026429,0.103338,0.087571,0.011057
"858",22039,"Evangeline","Fires - Wildfires",2.466977,11.352359,9.620547,1.095929
"859",22043,"Grant","Fires - Wildfires",55.680028,281.671563,238.704653,25.684586
"860",22049,"Jackson","Fires - Wildfires",0.328113,1.545422,1.309683,0.147084
"861",22053,"Jefferson Davis","Fires - Wildfires",0.113439,0.46875,0.397241,0.048404
"862",22059,"La Salle","Fires - Wildfires",4.237723,20.624564,17.478459,1.924504
"863",22061,"Lincoln","Fires - Wildfires",3.507885,16.422248,13.917083,1.568791
"864",22063,"Livingston","Fires - Wildfires",2.213134,10.490374,8.890167,0.994561
"865",22067,"Morehouse","Fires - Wildfires",6.467987,35.969739,30.482822,3.104929
"866",22069,"Natchitoches","Fires - Wildfires",3.048095,14.791101,12.534769,1.382544
"867",22073,"Ouachita","Fires - Wildfires",1.619143,7.672038,6.501699,0.727551
"868",22079,"Rapides","Fires - Wildfires",10.400669,48.848913,41.397233,4.657083
"869",22081,"Red River","Fires - Wildfires",0.764501,3.506137,2.971323,0.339183
"870",22083,"Richland","Fires - Wildfires",0.036343,0.16824,0.142567,0.01618
"871",22085,"Sabine","Fires - Wildfires",1.515468,6.921766,5.86592,0.671218
"872",22091,"St. Helena","Fires - Wildfires",2.427229,10.933439,9.265638,1.06942
"873",22097,"St. Landry","Fires - Wildfires",0.078369,0.337864,0.286322,0.033968
"874",22103,"St. Tammany","Fires - Wildfires",7.02428,60.454844,51.232859,4.170469
